Code,Species,Brief Classification,Classification,Very Brief Classification,Full Classification
QSKP,Polanisia trachysperma,CoreEudicots/Rosids,CoreEudicots/Rosids Brassicales,Eudicots,CoreEudicots/Rosids Brassicales
HJMP,Astragalus membranaceus,CoreEudicots/Rosids,CoreEudicots/Rosids Fabales,Eudicots,CoreEudicots/Rosids Fabales
HDWF,Francoa appendiculata,CoreEudicots/Rosids,CoreEudicots/Rosids Geraniales,Eudicots,CoreEudicots/Rosids Geraniales
QSKP,Polanisia trachysperma,CoreEudicots/Rosids,CoreEudicots/Rosids Brassicales,Eudicots,CoreEudicots/Rosids Brassicales
HJMP,Astragalus membranaceus,CoreEudicots/Rosids,CoreEudicots/Rosids Fabales,Eudicots,CoreEudicots/Rosids Fabales
HDWF,Francoa appendiculata,CoreEudicots/Rosids,CoreEudicots/Rosids Geraniales,Eudicots,CoreEudicots/Rosids Geraniales
DAYQ,Mitella pentandra,CoreEudicots Saxifragales,CoreEudicots Saxifragales,Eudicots,CoreEudicots Saxifragales
HQRJ,Loropetalum chinense,CoreEudicots Saxifragales,CoreEudicots Saxifragales,Eudicots,CoreEudicots Saxifragales
UHBY,Oresitrophe rupifraga,CoreEudicots Saxifragales,CoreEudicots Saxifragales,Eudicots,CoreEudicots Saxifragales
CWYJ,Heracleum lanatum,CoreEudicots/Asterids,CoreEudicots/Asterids Apiales,Eudicots,CoreEudicots/Asterids Apiales
LYPZ,Flaveria pubescens,CoreEudicots/Asterids,CoreEudicots/Asterids Asterales,Eudicots,CoreEudicots/Asterids Asterales
ZJRC,Sambucus canadensis,CoreEudicots/Asterids,CoreEudicots/Asterids Dipsacales,Eudicots,CoreEudicots/Asterids Dipsacales
MHYG,Conyza canadensis,CoreEudicots/Asterids,CoreEudicots/Asterids Asterales,Eudicots,CoreEudicots/Asterids Asterales
ODDO,Ardisia humilis,CoreEudicots/Asterids,CoreEudicots/Asterids Ericales,Eudicots,CoreEudicots/Asterids Ericales
AAXJ,Atriplex prostrata,CoreEudicots Caryophyllales,CoreEudicots Caryophyllales,Eudicots,CoreEudicots Caryophyllales
JAFJ,Bougainvillea spectabilis,CoreEudicots Caryophyllales,CoreEudicots Caryophyllales,Eudicots,CoreEudicots Caryophyllales
ONLQ,Atriplex hortensis,CoreEudicots Caryophyllales,CoreEudicots Caryophyllales,Eudicots,CoreEudicots Caryophyllales
AUGV,Capnoides sempervirens,Eudicots Ranunculales,Eudicots Ranunculales,Eudicots,Eudicots Ranunculales
NMGG,Hypecoum procumbens,Eudicots Ranunculales,Eudicots Ranunculales,Eudicots,Eudicots Ranunculales
Aquco_v1.1,Aquilegia coerulea,Eudicots,Genome Ranunculales,Eudicots,Genome
Arath_TAIR10,Arabidopsis_thaliana,CoreEudicots/Rosids,Genome Brassicales,Eudicots,Genome
Orysa_v7.0,Oryza sativa,Monocots,Genome Poales,Monocots,Genome
Musac_v1.0,Musa acuminata,Monocots,Genome Zingiberales,Monocots,Genome
BYQM,Posidonia australis,Monocots,Monocots Alismatales,Monocots,Monocots Alismatales
FGRF,Asparagus densiflorus,Monocots,Monocots Asparagales,Monocots,Monocots Asparagales
LELS,Haemaria discolor,Monocots,Monocots Asparagales,Monocots,Monocots Asparagales
XZME,Drakaea elastica,Monocots,Monocots Asparagales,Monocots,Monocots Asparagales
OOSO,Helonias bullata,Monocots,Monocots Liliales,Monocots,Monocots Liliales
BPKH,Neurachne annularis,Monocots,Monocots/Commelinids Poales,Monocots,Monocots/Commelinids Poales
ZMGN,Neurachne munroi,Monocots,Monocots/Commelinids Poales,Monocots,Monocots/Commelinids Poales
TZNS,Canna sp.,Monocots,Monocots/Commelinids Zingiberales,Monocots,Monocots/Commelinids Zingiberales
Orysa_v7.0,Oryza sativa,Monocots,Genome Poales,Monocots,Genome
Musac_v1.0,Musa acuminata,Monocots,Genome Zingiberales,Monocots,Genome
URDJ,Amborella trichopoda,ANAGrade,ANAGrade Amborellales,ANAGrade,ANAGrade Amborellales
GTHK,Gnetum montanum,Gnetales,Gnetales,Gymnos,Gnetales
TOXE,Welwitschia mirabilis,Gnetales,Gnetales,Gymnos,Gnetales
AWQB,Picea engelmannii, Pinales, Pinales,Gymnos, Pinales
DZQM,Pinus radiata, Pinales, Pinales,Gymnos, Pinales
VSRH,Abies lasiocarpa, Pinales, Pinales,Gymnos, Pinales
BUWV,Platycladus orientalis, Pinales, Pinales,Gymnos, Pinales
EFMS,Torreya taxifolia, Pinales, Pinales,Gymnos, Pinales
IAJW,Amentotaxus argotaenia, Pinales, Pinales,Gymnos, Pinales
NRXL,Metasequoia glyptostroboides, Pinales, Pinales,Gymnos, Pinales
SCEB,Podocarpus coriaceus, Pinales, Pinales,Gymnos, Pinales
UUJS,Nageia nagi, Pinales, Pinales,Gymnos, Pinales
WWSS,Taxus baccata, Pinales, Pinales,Gymnos, Pinales
XTZO,Araucaria rulei, Pinales, Pinales,Gymnos, Pinales
YFZK,Sciadopitys verticillata, Pinales, Pinales,Gymnos, Pinales
YLPM,Pseudotaxus chienii, Pinales, Pinales,Gymnos, Pinales
XZUY,Cycas micholitzii,Cycadales Cycadales,Cycadales Cycadales,Gymnos,Cycadales Cycadales
PIVW,Ceratopteris thalictroides,LeptosporangiateMonilophytes,LeptosporangiateMonilophytes Polypodiales,Monilophytes,LeptosporangiateMonilophytes Polypodiales
QPDY,Coleochaete irregularis,Coleochaetophyceae,Streptophyta Coleochaetales,Streptophyte_algae,Coleochaetophyceae
Chlre_v5.5,Chlamydomonas reinhardtii ,Chlorophyceae,Genome Chlorophyceae Chlamydomonadales,Chlorophyta,Genome
JOJQ,Cylindrocystis cushleckae,Zygnemophyceae,Streptophyta Zygnematales,Streptophyte_algae,Zygnemophyceae
